LINEUPS,NETRTG,,,
N. Vucevic - Z. LaVine,-0.2,,,
H. Barnes - D. Sabonis,6,,,
D. DeRozan - N. Vucevic,-0.4,,,
J. Randle - J. Brunson,0.3,,,
D. Garland - E. Mobley,7.6,,,
D. Sabonis - K. Huerter,4.5,,,
A. Edwards - J. McDaniels,3.9,,,
D. Sabonis - K. Murray,4,,,
J. Green - J. Smith Jr.,-11.5,,,
K. Caldwell-Pope - N. Jokic,13.1,,,
P. Siakam - F. VanVleet,3.4,,,
P. Siakam - S. Barnes,2.8,,,
H. Barnes - D. Fox,5.3,,,
C. McCollum - T. Murphy III,1.1,,,
D. Murray - J. Collins,-0.2,,,
D. Mitchell - E. Mobley,5.8,,,
B. Adebayo - T. Herro,4.4,,,
J. Randle - R. Barrett,-2.3,,,
F. VanVleet - S. Barnes,5.1,,,
J. Randle - Q. Grimes,4.1,,,
H. Barnes - K. Huerter,5.1,,,
D. DeRozan - Z. LaVine,-0.2,,,
J. Green - A. Sengun,-7.6,,,
H. Barnes - K. Murray,3.5,,,
K. Porter Jr. - J. Green,-7.8,,,
Z. LaVine - P. Williams,-2.9,,,
N. Vucevic - P. Williams,-3.6,,,
K. Caldwell-Pope - A. Gordon,11.5,,,
A. Gordon - N. Jokic,14.6,,,
S. Gilgeous-Alexander - L. Dort,1.8,,,
F. VanVleet - O. Anunoby,5.2,,,
T. Harris - J. Embiid,9.9,,,
A. Sengun - J. Smith Jr.,-11.5,,,
O. Anunoby - S. Barnes,5.2,,,
D. Murray - D. Hunter,-0.9,,,
T. Young - D. Hunter,2.7,,,
D. Sabonis - D. Fox,2.9,,,
M. Fultz - P. Banchero,-4.8,,,
R. Gobert - A. Edwards,1.2,,,
J. Brown - J. Tatum,6.3,,,
J. Collins - T. Young,0.9,,,
J. Harden - T. Harris,6.7,,,
P. Siakam - O. Anunoby,4.5,,,
D. Mitchell - J. Allen,9.6,,,
D. Murray - T. Young,0.3,,,
K. Thompson - D. Green,8,,,
F. Wagner - P. Banchero,0,,,
J. Brunson - R. Barrett,-1.8,,,
J. Green - K. Martin Jr.,-8.4,,,
A. Horford - J. Tatum,8.2,,,
B. Lopez - J. Holiday,9.3,,,
J. Grant - A. Simons,-1.6,,,
J. Tatum - D. White,11.3,,,
P. Tucker - T. Harris,5.5,,,
D. DeRozan - P. Williams,-1.5,,,
L. Dort - J. Giddey,-1.2,,,
K. Huerter - K. Murray,4.1,,,
D. Fox - K. Murray,0.3,,,
M. Smart - J. Tatum,7.6,,,
J. Valanciunas - C. McCollum,-1.8,,,
J. Collins - D. Hunter,1.1,,,
A. Horford - J. Brown,6,,,
R. Gobert - J. McDaniels,1.9,,,
T. Harris - D. Melton,4.1,,,
N. Jokic - J. Murray,12.1,,,
K. Porter Jr. - J. Smith Jr.,-10.3,,,
D. Lillard - J. Grant,1.5,,,
M. Turner - B. Hield,0.5,,,
B. Hield - T. Haliburton,0.9,,,
M. Smart - J. Brown,3.6,,,
J. Harden - J. Embiid,9,,,
D. Mitchell - D. Garland,8,,,
N. Vucevic - A. Dosunmu,-3.8,,,
R. O'Neale - N. Claxton,2.8,,,
J. Giddey - J. Williams,-1.2,,,
G. Trent Jr. - S. Barnes,0.5,,,
C. LeVert - E. Mobley,5.9,,,
P. Siakam - G. Trent Jr.,0,,,
T. Rozier - P. Washington,-5.1,,,
A. Gordon - J. Murray,11.9,,,
C. McCollum - H. Jones,4.1,,,
R. Bullock - L. Doncic,-2.1,,,
S. Curry - D. Green,8.6,,,
P. Williams - A. Dosunmu,-2.6,,,
J. Allen - D. Garland,8.4,,,
J. Butler - B. Adebayo,4.2,,,
J. Embiid - D. Melton,6,,,
K. Caldwell-Pope - J. Murray,10.8,,,
D. Fox - K. Huerter,2.8,,,
C. Capela - T. Young,-0.1,,,
B. Adebayo - M. Strus,1.2,,,
J. Allen - E. Mobley,8.5,,,
J. Brown - D. White,11,,,
P. Tucker - J. Embiid,8.3,,,
J. Brunson - Q. Grimes,1.3,,,
S. Gilgeous-Alexander - J. Giddey,-1.1,,,
B. Adebayo - C. Martin,3.1,,,
J. Grant - J. Hart,2.7,,,
N. Jokic - M. Porter Jr.,15.1,,,
D. Green - J. Poole,3.8,,,
S. Gilgeous-Alexander - J. Williams,-1.3,,,
B. Bogdanovic - J. Ivey,-12.7,,,
K. Caldwell-Pope - M. Porter Jr.,12.1,,,
D. DeRozan - A. Dosunmu,-1.5,,,
T. Hardaway Jr. - L. Doncic,7,,,
D. Russell - A. Edwards,-1.2,,,
